;;;;;;;;;;;;;X,,,,,,,,,,,,,,
austrian_empire_desc;The Great Kingdom;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_romanians_title;Integrate The Romanians;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_romanians_desc;Integrate The Romanians in our empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
annex_bavaria_title;Integrate Munich;;;;;;;;;;;;;X,,,,,,,,,,,,,,
annex_bavaria_desc;South German Federation way, exclusive with: Annex Galicia;;;;;;;;;;;;;X,,,,,,,,,,,,,,
the_swiss_lands_title;Recover The Swiss Lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
the_swiss_lands_desc;Take back the Swiss lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_italia_title;Recovering The Shadow Kingdom;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_italia_desc;The Italians are a part of us;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_the_bengali_title;Integrate The Bengali;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_the_bengali_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
form_india_title;The Indian empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
form_india_desc;When choosing to form India, you will become independent of Great Britain without a war but will stay in their sphere;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ENG_Three_Cultures_One_Country_title;Three Cultures One Country;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ENG_Three_Cultures_One_Country_desc;Unite the Three Cultures;;;;;;;;;;;;;X,,,,,,,,,,,,,,
End_Of_The_Dutch_Partnership_title;End Of The Dutch Partnership;;;;;;;;;;;;;X,,,,,,,,,,,,,,
End_Of_The_Dutch_Partnership_desc;Exclusive with North sea empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Integrate_the_Dutch_title;Integrate the Dutch;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Integrate_the_Dutch_desc;Exclusive with North sea empire and bring back old rivalries;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Bring_back_old_rivalries_title;Bring back old rivalries;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Bring_back_old_rivalries_desc;Exclusive with North sea empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
realize_the_union_title;realize the union;;;;;;;;;;;;;X,,,,,,,,,,,,,,
realize_the_union_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Realize_The_Wedding_title;realize the wedding;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Realize_The_Wedding_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
New_Order_title;New Order;;;;;;;;;;;;;X,,,,,,,,,,,,,,
New_Order_desc;New Order;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Take_Control_of_the_North_Sea_title;Take Control of the North Sea;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Take_Control_of_the_North_Sea_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_North_Sea_Empire_title;North Sea Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_North_Sea_Empire_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Dual_Monarchy_title;The Dual Monarchy;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Dual_Monarchy_desc;Exclusive with Unite Two crowns and Eagle Rise/New Frontiers;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Frank_English_Union_title;Frank-English Union;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Frank_English_Union_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
New_Frontiers_title;The Eagle Rises;;;;;;;;;;;;;X,,,,,,,,,,,,,,
New_Frontiers_desc;Napoleon way Exclusive with: Unite crowns, Dual monarchy and End of dutch partnership;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Alps_Defense_title:The Alps Defense;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Alps_Defense_desc;Switzerland and Italy belongs to the French crown!;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Rhine_Defense_title;Expanding our defense plan;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Rhine_Defense_desc;In order to protect the French lands we need to take the rhine river;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Capturing_westphalia_title;Capturing Westphalia;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Capturing_westphalia_desc;Prussia is a menace to the world, we should stablish a duchy in westphalia in order to maintain the balance;;;;;;;;;;;;;X,,,,,,,,,,,,,,
FRA_The_Dual_Monarch_title;The Dual Monarchy Question;;;;;;;;;;;;;X,,,,,,,,,,,,,,
FRA_The_Dual_Monarch_desc;Dual/triple Monarchy way Exclusive with: New Frontiers, Uniting Crowns and Dutch partnership;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Taking_The_Kingdom_Of_England_title;Taking the Kingdom of England;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Taking_The_Kingdom_Of_England_desc;Taking the rightful French lands back;;;;;;;;;;;;;X,,,,,,,,,,,,,,
FRA_Frank_English_Union_title;Frank English Union;;;;;;;;;;;;;X,,,,,,,,,,,,,,
FRA_Frank_English_Union_desc:The French people are one again!;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_spanish_crown_title;The Spanish Crown;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_spanish_crown_desc;Unite with Spain way Exclusive with: New Frontiers, Dual Monarchy and End of Dutch Partnership;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Uniting_crowns_title;Uniting the crowns;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Uniting_crowns_desc;Unite the French crown with the Iberian crown;;;;;;;;;;;;;X,,,,,,,,,,,,,,
FRA_Two_Cultures_One_Country_title;Two Cultures One Country;;;;;;;;;;;;;X,,,,,,,,,,,,,,
FRA_Two_Cultures_One_Country_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Look_Towards_West_title;Look Towards West;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Look_Towards_West_desc;Exclusive with German Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Polish_Integration_title;The Polish Integration;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Polish_Integration_desc;Exclusive with German Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
tech_form_north_german_confederation_title;Form North German Confederation;;;;;;;;;;;;;X,,,,,,,,,,,,,,
tech_form_north_german_confederation_desc;Form North German Confederation through tech, doesn't need all the lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,

Enough_Of_Austrian_Opression_title;Enough Of Austrian Opression;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Enough_Of_Austrian_Opression_desc;Expansion in Balakns way, Exclusive with: Louis Heritage;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Hungarian_Horses_title;The Hungarian Horses;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Hungarian_Horses_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Integrate_The_Balkans_title;Integrate The Balkans;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Integrate_The_Balkans_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Integrating_Ruthenia_title;integrating Ruthenia;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Integrating_Ruthenia_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Louis_Heritage_title;Louis Heritage;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Louis_Heritage_desc;Jagiellonian way, exclusive with: Enough of Austrian Opression;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Cede_the_Bohemian_Crown_title;Cede the Bohemian Crown;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Cede_the_Bohemian_Crown_desc;Give away our lands in Bohemia, can still make Jagiellonia;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Recovering_The_Bohemian_Crown_title;Recovering The Bohemian Crown;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Recovering_The_Bohemian_Crown_desc;Restore the rightful Jagiollonia claim;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Reconquest_Of_Poland_title;Reconquest of Poland;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Reconquest_Of_Poland_desc;Recovering the Polish plains;;;;;;;;;;;;;X,,,,,,,,,,,,,,
the_great_jagiellonia_title;The Great Jagiellonia;;;;;;;;;;;;;X,,,,,,,,,,,,,,
the_great_jagiellonia_desc;Jagiellonia in it full extension;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ibr_take_aragonese_Italy_title;Reconquest of Aragonese Italy;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ibr_take_aragonese_Italy_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ibr_conquest_of_Naples_title;Conquest of Naples;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ibr_conquest_of_Naples_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ibr_Integration_Of_The_Sicilians_title;Integration Of The Southerns;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ibr_Integration_Of_The_Sicilians_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
North_Expansion_title;North Expansion;;;;;;;;;;;;;X,,,,,,,,,,,,,,
North_Expansion_desc;Subjugate the Swiss;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_French_way_title;The French way;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_French_way_desc;Exclusive with South German Federation and Italy;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Three_Cultures_One_Country_title;Three Cultures One Country;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Three_Cultures_One_Country_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Shadow_Kingdom_Overthrow_title;The Shadow Kingdom Overthrow;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Shadow_Kingdom_Overthrow_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Italian_Union_title;Italian Union;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Italian_Union_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Break_Into_The_Papal_States_title;Break Into The Papal States;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Break_Into_The_Papal_States_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Retake_Aragon_Lands_title;Retake Aragon Lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Retake_Aragon_Lands_desc;Exclusive with Italy;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Overthrow_The_Spanish_Crown_title;Overthrow The Spanish Crown;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Overthrow_The_Spanish_Crown_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ita_Balkan_Expansion_title;Balkan Expansion;;;;;;;;;;;;;X,,,,,,,,,,,,,,
ita_Balkan_Expansion_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
JAP_consolidating_empire_title;Consolidating empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
JAP_consolidating_empire_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
JAP_take_the_islands_title;Take the islands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
JAP_take_the_islands_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
JAP_new_sun_rise_title;New Sun Rise;;;;;;;;;;;;;X,,,,,,,,,,,,,,
JAP_new_sun_rise_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
carthage_legacy_title;CarthageLlegacy;;;;;;;;;;;;;X,,,,,,,,,,,,,,
carthage_legacy_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
our_eastern_brothers_title;Our eastern brothers;;;;;;;;;;;;;X,,,,,,,,,,,,,,
our_eastern_brothers_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
recovering_our_lands_title;Recovering our lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
recovering_our_lands_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
towards_Persian_Empire_title;Towards Persian Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
towards_Persian_Empire_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Reborned_Persian_Empire_title;Reborned Persian Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Reborned_Persian_Empire_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Retake_Levant_title;Retake Levant;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Retake_Levant_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Persian_Empire_title;Persian Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Persian_Empire_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
All_Welcome_To_The_Empire_title;All Welcome To The Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
All_Welcome_To_The_Empire_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
United_Kingdom_of_Portugal_Brazil_and_Algarves_title;United Kingdom of Portugal Brazil and Algarves;;;;;;;;;;;;;X,,,,,,,,,,,,,,
United_Kingdom_of_Portugal_Brazil_and_Algarves_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
consolidate_central_asia_title;Consolidate central asia;;;;;;;;;;;;;X,,,,,,,,,,,,,,
consolidate_central_asia_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
accept_the_baltic_people_title;Accept the baltic people;;;;;;;;;;;;;X,,,,,,,,,,,,,,
accept_the_baltic_people_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_the_Russians_west_slavics_title;Integrate the Russians west slavics;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_the_Russians_west_slavics_desc;Exclusive with consolidate the northwest Russians;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_the_Northwest_Russians_title;Integrate the Russians northhwest slavics;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_the_Northwest_Russians_desc;Exclusive with integrate the Russians west Slavics;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Russian_Sea_Empire_title;The Russian Sea Empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
The_Russian_Sea_Empire_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Retake_Our_scottish_lands_title;Retake Our Scottish lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Retake_Our_scottish_lands_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Recover_the_Irish_lands_title;Recover the Irish lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Recover_the_Irish_lands_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Empire_Of_Iberia_title;Empire Of Iberia;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Empire_Of_Iberia_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Towards_Kalmar_union_title;Towards Kalmar union;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Towards_Kalmar_union_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Expand_towards_east_title;Expand towards east;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Expand_towards_east_desc;Exclusive with focus on balkans;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Ottoman_middle_east_hegemony_title;Ottoman middle east hegemony;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Ottoman_middle_east_hegemony_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_The_easterns_title;Integrate the easterns;;;;;;;;;;;;;X,,,,,,,,,,,,,,
integrate_The_easterns_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
focus_on_balkans_title;Focus on balkans;;;;;;;;;;;;;X,,,,,,,,,,,,,,
focus_on_balkans_desc;Exclusive with expand towards east;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Face_a_old_rival_title;Facing an old rival;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Face_a_old_rival_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Fall_Of_Wien_title;Fall Of Wien;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Fall_Of_Wien_desc;;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Consolidate_The_Eastern_People_title;Consolidate the Eastern People;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Consolidate_The_Eastern_People_desc;The Javanese are DUTCH!;;;;;;;;;;;;;X,,,,,,,,,,,,,,
uniting_the_empires_title;Ethiopia belongs to us;;;;;;;;;;;;;X,,,,,,,,,,,,,,
uniting_the_empires_desc;We shall integrate Ethiopia into our great empire;;;;;;;;;;;;;X,,,,,,,,,,,,,,
taking_down_the_turks_title;Taking down the turks;;;;;;;;;;;;;X,,,,,,,,,,,,,,
taking_down_the_turks_desc;We shall restore the caliphate lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Union_between_English_title;The English people in America;;;;;;;;;;;;;X,,,,,,,,,,,,,,
Union_between_English_desc;The american people and canandians shall be one!;;;;;;;;;;;;;X,,,,,,,,,,,,,,
tech_form_north_german_confederation_title;Form North German Confederation;;;;;;;;;;;;;X,,,,,,,,,,,,,,
tech_form_north_german_confederation_desc;Form North German Confederation with the techs instead of the lands;;;;;;;;;;;;;X,,,,,,,,,,,,,,
